Provincia,Baja,Media,Alta
BUENOS AIRES,2083798.0,1453316.0,1382296.0
CABA,250103.0,544447.0,710161.0
CATAMARCA,47780.0,17758.0,9325.0
CHACO,68250.0,57644.0,25833.0
CHUBUT,152584.0,1258.0,194.0
CORDOBA,527444.0,314675.0,225370.0
CORRIENTES,82157.0,41228.0,28267.0
ENTRE RIOS,153991.0,72637.0,55949.0
FORMOSA,39130.0,11492.0,11794.0
JUJUY,101504.0,9399.0,5180.0
LA PAMPA,110787.0,9198.0,611.0
LA RIOJA,69743.0,11611.0,6428.0
MENDOZA,255190.0,28795.0,13046.0
MISIONES,107576.0,57751.0,28703.0
NEUQUEN,83713.0,30692.0,29673.0
RIO NEGRO,102197.0,33758.0,19488.0
SALTA,125462.0,38953.0,31800.0
SAN JUAN,78769.0,3255.0,1887.0
SAN LUIS,123228.0,1983.0,24911.0
SANTA CRUZ,40929.0,5192.0,284.0
SANTA FE,509060.0,229290.0,164070.0
SANTIAGO DEL ESTERO,103772.0,10230.0,9443.0
TIERRA DEL FUEGO,53233.0,529.0,672.0
TUCUMAN,142396.0,75393.0,46318.0
